BIL,NEGERI,MUKIM/DAERAH,Nama,LATITUD,LONGITUD,,,,
290,Kelantan,Kota Bharu,Pulau Che Nor,6.185555556,102.295,,,,
291,Kelantan,Kota Bharu,Pulau Pak Amat,6.183611111,102.3008889,,,,
292,Kelantan,Kota Bharu,Pulau Tukang Dollah,6.178888889,102.305,,,,
293,Kelantan,Kota Bharu,Pulau Pelesit,6.181666667,102.3127778,,,,
294,Kelantan,Kota Bharu,Pulau Bernal/Pulau Datok,6.166111111,102.3402778,,,,
295,Kelantan,Kota Bharu,Pulau Layak,6.161111111,102.3375,,,,
296,Kelantan,Kota Bharu,Pulau Dato' Mufti,6.198333333,102.2694444,,,,
297,Kelantan,Kota Bharu,Pulau Kambing,6.1603925,102.2401086,,,,
298,Kelantan,Kota Bharu,Pulau Gorek,6.186027778,102.29575,,,,
299,Kelantan,Kota Bharu,Pulau Pegama,6.195555556,102.2661111,,,,
300,Kelantan,Tumpat,Pulau Ular,6.22775,102.0836944,,,,
301,Kelantan,Tumpat,Pulau Bedar,6.21,102.1713889,,,,
302,Kelantan,Tumpat,Pulau Layang-Layang,6.208944444,102.1715556,,,,
303,Kelantan,Tumpat,Pulau Timun,6.214972222,102.1929722,,,,
304,Labuan,WP Labuan,Pulau Labuan,5.313611111,115.2224167,,,,
305,Labuan,WP Labuan,Pulau Daat,5.275611111,115.313875,,,,
306,Labuan,WP Labuan,Pulau Rusukan Besar,5.187630556,122.1641667,,,,
307,Labuan,WP Labuan,Pulau Karaman,5.226427778,115.1283028,,,,
308,Labuan,WP Labuan,Pulau Rusukan Kechil,5.201144444,115.1467806,,,,
309,Labuan,WP Labuan,Pulau Papan,5.253488889,115.2699861,,,,
310,Labuan,WP Labuan,Pulau Burong,5.237558333,115.1910167,,,,
311,Labuan,WP Labuan,Pulau Layang-Layang,7.375055556,113.8296111,,,,
312,Melaka,Alor Gajah/Port Dickson,Pulau Intan,2.40275,101.8512778,,,,
313,Melaka,Alor Gajah/Port Dickson,Pulau Masjid,2.408305556,101.859225,,,,
314,Melaka,Alor Gajah,Pulau Konet,2.344166667,102.0438611,,,,
315,Melaka,Melaka Tengah,Pulau Upeh,2.192775,102.2031556,,,,
316,Melaka,Melaka Tengah,Pulau Panjang,2.160841667,102.2600194,,,,
317,Melaka,Melaka Tengah,Pulau Menatang,2.151802778,102.3177306,,,,
318,Melaka,Melaka Tengah,Pulau Jawa,2.17975,102.2513778,,,,
319,Melaka,Melaka Tengah,Pulau Dodol,2.082366667,102.3320611,,,,
320,Melaka,Melaka Tengah,Pulau Hanyut,2.079305556,102.3052694,,,,
321,Melaka,Melaka Tengah,Pulau Nangka,2.073855556,102.3340583,,,,
322,Melaka,Melaka Tengah,Pulau Besar,2.113972222,102.3279667,,,,
323,Melaka,Melaka Tengah,Pulau Serimbun,2.120991667,102.3150361,,,,
324,Melaka,Melaka Tengah,Pulau Lalang,2.11615,102.3406944,,,,
325,Melaka,Melaka Tengah,Pulau Undan,2.048091667,102.3337472,,,,
326,Melaka,Jasin,Pulau Burung,2.128830556,102.3585889,,,,
327,Melaka,Jasin,Pulau Anak Burung,2.126213889,102.3491361,,,,
328,Negeri Sembilan,Port Dickson,Pulau Arang-Arang,2.515777778,101.7905833,,,,
329,Negeri Sembilan,Port Dickson,Pulau Burung Batu 2,2.547055556,101.7856389,,,,
330,Negeri Sembilan,Port Dickson,Pulau Burong,2.492166667,101.8274444,,,,
331,Negeri Sembilan,Port Dickson,Pulau Bagan Pinang,2.507825,101.8263056,,,,
